rep,weight,r,RMSE
1,0.4,37.0,0.8810263254080725
1,0.41,37.0,0.8810725956606759
1,0.39,18.0,0.8817455003201452
1,0.39,37.0,0.8809752979104594
1,0.4,18.0,0.8818809971588685
1,0.38,18.0,0.8816471763959673
1,0.42,37.0,0.8811458944159551
1,0.41,18.0,0.8820498942053838
1,0.37,18.0,0.881598668886954
1,0.38,37.0,0.880964990813557
2,0.4,37.0,0.8711986526070811
2,0.41,37.0,0.8713232903149717
2,0.39,18.0,0.871702389573038
2,0.39,37.0,0.8711325332539579
2,0.4,18.0,0.8719148565399855
2,0.38,18.0,0.8715628966179341
2,0.42,37.0,0.8715044228088611
2,0.41,18.0,0.8721377364124662
2,0.37,18.0,0.8714607237752338
2,0.38,37.0,0.8710615993480665
3,0.4,37.0,0.8723673664648902
3,0.41,37.0,0.8725015833943697
3,0.39,18.0,0.8764146978588403
3,0.39,37.0,0.8722948831177503
3,0.4,18.0,0.8763643828016625
3,0.38,18.0,0.8764699855142893
3,0.42,37.0,0.8726730091899803
3,0.41,18.0,0.8763330246412028
3,0.37,18.0,0.8765477164917352
3,0.38,37.0,0.8722969211928387
4,0.4,37.0,0.8688623988344476
4,0.41,37.0,0.8688749518118868
4,0.39,18.0,0.8680334960953483
4,0.39,37.0,0.869034059105929
4,0.4,18.0,0.8680626767167312
4,0.38,18.0,0.8679810396937547
4,0.42,37.0,0.8689933861106695
4,0.41,18.0,0.8681015771276395
4,0.37,18.0,0.8679523731171557
4,0.38,37.0,0.869348253666404
5,0.4,37.0,0.8763255045644104
5,0.41,37.0,0.8762589993776025
5,0.39,18.0,0.8780918545416561
5,0.39,37.0,0.8764508669195792
5,0.4,18.0,0.8781229578433992
5,0.38,18.0,0.8780702669860991
5,0.42,37.0,0.8762806992422809
5,0.41,18.0,0.8781752870691014
5,0.37,18.0,0.8780850976148717
5,0.38,37.0,0.876602121741604
6,0.4,37.0,0.8704555345111791
6,0.41,37.0,0.8704718365674766
6,0.39,18.0,0.870757927883293
6,0.39,37.0,0.8704779549197794
6,0.4,18.0,0.8708218418727103
6,0.38,18.0,0.87074371674493
6,0.42,37.0,0.8705076036523736
6,0.41,18.0,0.870951135963317
6,0.37,18.0,0.8707799849592107
6,0.38,37.0,0.8705860291943491
7,0.4,37.0,0.88706820343133
7,0.41,37.0,0.8871737237900792
7,0.39,18.0,0.8872108308798852
7,0.39,37.0,0.8869684855265324
7,0.4,18.0,0.8872164989244529
7,0.38,18.0,0.8872267915339195
7,0.42,37.0,0.8872421469476758
7,0.41,18.0,0.8872564858126722
7,0.37,18.0,0.8872782805395115
7,0.38,37.0,0.886953935704769
8,0.4,37.0,0.8673425941166671
8,0.41,37.0,0.8672213488909343
8,0.39,18.0,0.867446976091177
8,0.39,37.0,0.8674681244428158
8,0.4,18.0,0.867624032600534
8,0.38,18.0,0.8673218007206046
8,0.42,37.0,0.8671536383128877
8,0.41,18.0,0.867860657229092
8,0.37,18.0,0.8672251628435087
8,0.38,37.0,0.8676534013041654
9,0.4,37.0,0.8745353856914854
9,0.41,37.0,0.8746926079143407
9,0.39,18.0,0.8751577993929356
9,0.39,37.0,0.8744634196732143
9,0.4,18.0,0.8752005687897462
9,0.38,18.0,0.8751740755171175
9,0.42,37.0,0.8748441975933356
9,0.41,18.0,0.8752930382351647
9,0.37,18.0,0.8752250463195504
9,0.38,37.0,0.8745040051395504
10,0.4,37.0,0.8676086183978005
10,0.41,37.0,0.867555529872306
10,0.39,18.0,0.8690007859170223
10,0.39,37.0,0.8676847834800668
10,0.4,18.0,0.8689062595460686
10,0.38,18.0,0.869133694510337
10,0.42,37.0,0.867500496606541
10,0.41,18.0,0.8688320118252125
10,0.37,18.0,0.8693006080079068
10,0.38,37.0,0.8678511191994158
11,0.4,37.0,0.8749037712377633
11,0.41,37.0,0.8750268317126835
11,0.39,18.0,0.8742916046331413
11,0.39,37.0,0.8748455653608239
11,0.4,18.0,0.8741861286212746
11,0.38,18.0,0.8744454841833437
11,0.42,37.0,0.8750889551321823
11,0.41,18.0,0.8741330560765364
11,0.37,18.0,0.8746454878573182
11,0.38,37.0,0.8749106273930454
12,0.4,37.0,0.88283928004541
12,0.41,37.0,0.8829138175827402
12,0.39,18.0,0.8843157619784123
12,0.39,37.0,0.8828258253743791
12,0.4,18.0,0.8843747844699937
12,0.38,18.0,0.8843019547487357
12,0.42,37.0,0.8830033747766036
12,0.41,18.0,0.8844681076329476
12,0.37,18.0,0.884335030502202
12,0.38,37.0,0.8828752829395557
13,0.4,37.0,0.8893694800635797
13,0.41,37.0,0.8893390634664502
13,0.39,18.0,0.8890021187489079
13,0.39,37.0,0.8894295648959717
13,0.4,18.0,0.8890066545580595
13,0.38,18.0,0.8890360037294675
13,0.42,37.0,0.8893062988967088
13,0.41,18.0,0.8890495398349555
13,0.37,18.0,0.8891033647699476
13,0.38,37.0,0.889517827574239
14,0.4,37.0,0.8740153255500182
14,0.41,37.0,0.8740557295512358
14,0.39,18.0,0.8768626430311859
14,0.39,37.0,0.8740699383107134
14,0.4,18.0,0.8769726436326396
14,0.38,18.0,0.8767966271297573
14,0.42,37.0,0.8741578726735815
14,0.41,18.0,0.8771359097158623
14,0.37,18.0,0.8767996227800678
14,0.38,37.0,0.8741737788264962
15,0.4,37.0,0.8777652229215253
15,0.41,37.0,0.8777951763271999
15,0.39,18.0,0.8777870344507427
15,0.39,37.0,0.8777736433852246
15,0.4,18.0,0.8777455057614251
15,0.38,18.0,0.8778578037710149
15,0.42,37.0,0.8778341617259154
15,0.41,18.0,0.8777457291786723
15,0.37,18.0,0.8779749826244444
15,0.38,37.0,0.8777904723902499
16,0.4,37.0,0.8711429016011462
16,0.41,37.0,0.8712164208476604
16,0.39,18.0,0.8701589377990046
16,0.39,37.0,0.8711043730558983
16,0.4,18.0,0.8702406428934093
16,0.38,18.0,0.870142066212761
16,0.42,37.0,0.871307977888623
16,0.41,18.0,0.8704138353539115
16,0.37,18.0,0.870195903034449
16,0.38,37.0,0.8710913530824393
17,0.4,37.0,0.8809879115294357
17,0.41,37.0,0.8809529747665981
17,0.39,18.0,0.8833393266437637
17,0.39,37.0,0.8809640008930476
17,0.4,18.0,0.8835092782488069
17,0.38,18.0,0.8832356045775231
17,0.42,37.0,0.8809578692732913
17,0.41,18.0,0.8837078955061358
17,0.37,18.0,0.8832107398503533
17,0.38,37.0,0.88092993731702
18,0.4,37.0,0.8888333963801335
18,0.41,37.0,0.8889853736371364
18,0.39,18.0,0.8891305674280037
18,0.39,37.0,0.8887412393525514
18,0.4,18.0,0.8891741912014931
18,0.38,18.0,0.8891381419613534
18,0.42,37.0,0.8891825039957364
18,0.41,18.0,0.8892825545952339
18,0.37,18.0,0.8891691214783092
18,0.38,37.0,0.8886671762466992
19,0.4,37.0,0.8773935492104721
19,0.41,37.0,0.8774001705571981
19,0.39,18.0,0.8800848519810065
19,0.39,37.0,0.8773900707129746
19,0.4,18.0,0.88018271051047
19,0.38,18.0,0.879994281118277
19,0.42,37.0,0.8774646700815378
19,0.41,18.0,0.8803158445565225
19,0.37,18.0,0.8799372907161601
19,0.38,37.0,0.8774045996896789
20,0.4,37.0,0.8743059877434974
20,0.41,37.0,0.8743561695461826
20,0.39,18.0,0.8764685460917486
20,0.39,37.0,0.874301650877498
20,0.4,18.0,0.8765699491071761
20,0.38,18.0,0.8764161282902382
20,0.42,37.0,0.8744624395876675
20,0.41,18.0,0.8767230780992374
20,0.37,18.0,0.8764155418685484
20,0.38,37.0,0.8743272972677233
