rep,weight,r,RMSE
1,0.39,10.0,0.8788926949740846
1,0.38,10.0,0.8796354013030424
1,0.42,10.0,0.8794746850216505
1,0.36,10.0,0.8789646021965457
1,0.39,11.0,0.8789723144872233
1,0.37,10.0,0.8788487405233472
1,0.41,10.0,0.8795967757263999
1,0.4,10.0,0.8793836763381039
1,0.41,9.0,0.8789188917137295
1,0.41,13.0,0.879463118106143
2,0.39,10.0,0.8723262806916648
2,0.38,10.0,0.8730092000205444
2,0.42,10.0,0.8725006034365248
2,0.36,10.0,0.8727877112900835
2,0.39,11.0,0.8725368220745187
2,0.37,10.0,0.8729920152644631
2,0.41,10.0,0.8728407395732959
2,0.4,10.0,0.8724937559980929
2,0.41,9.0,0.8726717598541454
2,0.41,13.0,0.8716668985952534
3,0.39,10.0,0.8849491554122332
3,0.38,10.0,0.8837944661681563
3,0.42,10.0,0.8840217277548129
3,0.36,10.0,0.8845722372524373
3,0.39,11.0,0.8841778921193457
3,0.37,10.0,0.8840038690939768
3,0.41,10.0,0.8839379008545477
3,0.4,10.0,0.8844819185428655
3,0.41,9.0,0.8843076674341043
3,0.41,13.0,0.8851398458922773
4,0.39,10.0,0.8653734859066196
4,0.38,10.0,0.8655694453893309
4,0.42,10.0,0.8675357227993042
4,0.36,10.0,0.8654078710322846
4,0.39,11.0,0.8657168964353775
4,0.37,10.0,0.866762965718706
4,0.41,10.0,0.8675691145011146
4,0.4,10.0,0.8671312465973836
4,0.41,9.0,0.8677251280575877
4,0.41,13.0,0.8652925751233066
5,0.39,10.0,0.8869299131384445
5,0.38,10.0,0.8875384824914859
5,0.42,10.0,0.8871389057819905
5,0.36,10.0,0.8874602263159294
5,0.39,11.0,0.8868747757394104
5,0.37,10.0,0.8871996231406378
5,0.41,10.0,0.8873633703587065
5,0.4,10.0,0.88740990279626
5,0.41,9.0,0.886032962821632
5,0.41,13.0,0.8857501256323974
6,0.39,10.0,0.8702748648242253
6,0.38,10.0,0.8703461464846561
6,0.42,10.0,0.8700155139604191
6,0.36,10.0,0.8714302075669987
6,0.39,11.0,0.8696585608897013
6,0.37,10.0,0.8706510059827263
6,0.41,10.0,0.8699205903158984
6,0.4,10.0,0.8702547063611041
6,0.41,9.0,0.8700513378467345
6,0.41,13.0,0.8688478832590016
7,0.39,10.0,0.8800790083273836
7,0.38,10.0,0.8803352535705027
7,0.42,10.0,0.8797056272128335
7,0.36,10.0,0.8809828006119982
7,0.39,11.0,0.8804435364330279
7,0.37,10.0,0.880242661241043
7,0.41,10.0,0.8799937373719247
7,0.4,10.0,0.8799591075830647
7,0.41,9.0,0.8801658852856818
7,0.41,13.0,0.878588404021262
8,0.39,10.0,0.8888503892163309
8,0.38,10.0,0.8885151587538738
8,0.42,10.0,0.8891196505956704
8,0.36,10.0,0.8886658994998441
8,0.39,11.0,0.8892807358062906
8,0.37,10.0,0.8891484028530868
8,0.41,10.0,0.8892980586587385
8,0.4,10.0,0.8884860195353929
8,0.41,9.0,0.8885083280861339
8,0.41,13.0,0.8873736893367036
