index,lambda,eta,r,RMSE
0,0.001,0.0001,1.0,1.0621134454414929
1,0.001,0.001,1.0,1.0319071907513302
2,0.001,0.01,1.0,0.9375894453991196
3,0.001,0.05,1.0,1.0402886736765304
4,0.001,0.1,1.0,1.3971428710587748
5,0.01,0.0001,1.0,1.0621999874075854
6,0.01,0.001,1.0,1.0463452603734633
7,0.01,0.01,1.0,0.9736797882362604
8,0.01,0.05,1.0,1.0568819599480077
9,0.01,0.1,1.0,1.4003852288034029
10,0.05,0.0001,1.0,1.0627895826375067
11,0.05,0.001,1.0,1.0406794016094247
12,0.05,0.01,1.0,0.9396913107310668
13,0.05,0.05,1.0,1.0614306579244845
14,0.05,0.1,1.0,1.4033442281683817
15,0.1,0.0001,1.0,1.062613003318298
16,0.1,0.001,1.0,1.0511955852357506
17,0.1,0.01,1.0,0.9937779208687557
18,0.1,0.05,1.0,1.0486420060369654
19,0.1,0.1,1.0,1.3936578418148062
20,0.5,0.0001,1.0,1.0649510005234757
21,0.5,0.001,1.0,1.053405692183004
22,0.5,0.01,1.0,1.0628428709020923
23,0.5,0.05,1.0,1.1218563238122126
24,0.5,0.1,1.0,1.3524727452223828
25,1.0,0.0001,1.0,1.0678112417144332
26,1.0,0.001,1.0,1.077210729336716
27,1.0,0.01,1.0,1.2448675260038977
28,1.0,0.05,1.0,1.3401618499685783
29,1.0,0.1,1.0,1.4826681911151416
30,0.001,0.0001,5.0,1.0624611500687848
31,0.001,0.001,5.0,1.0539831944424327
32,0.001,0.01,5.0,0.9743182524066658
33,0.001,0.05,5.0,1.045763117579674
34,0.001,0.1,5.0,1.2448604237341656
35,0.01,0.0001,5.0,1.0627361446692427
36,0.01,0.001,5.0,1.0332460679322009
37,0.01,0.01,5.0,0.9358358237172653
38,0.01,0.05,5.0,1.057090475393804
39,0.01,0.1,5.0,1.3894971038141173
40,0.05,0.0001,5.0,1.0630784107856004
41,0.05,0.001,5.0,1.0248182384245488
42,0.05,0.01,5.0,0.9715692309557542
43,0.05,0.05,5.0,1.0651007872713916
44,0.05,0.1,5.0,1.412335148168216
45,0.1,0.0001,5.0,1.0626896190211392
46,0.1,0.001,5.0,1.045157973674627
47,0.1,0.01,5.0,0.9926292109261996
48,0.1,0.05,5.0,1.0652998375212692
49,0.1,0.1,5.0,1.3649185204742142
50,0.5,0.0001,5.0,1.0645218180435805
51,0.5,0.001,5.0,1.054854610484174
52,0.5,0.01,5.0,1.051061710261357
53,0.5,0.05,5.0,1.1046286761565443
54,0.5,0.1,5.0,1.3538385595562628
55,1.0,0.0001,5.0,1.0676426111127273
56,1.0,0.001,5.0,1.0718834706833962
57,1.0,0.01,5.0,1.2301261285999774
58,1.0,0.05,5.0,1.3510088920418593
59,1.0,0.1,5.0,1.47552759065464
60,0.001,0.0001,10.0,1.0627022812278988
61,0.001,0.001,10.0,1.0337199036586597
62,0.001,0.01,10.0,0.9831236411958342
63,0.001,0.05,10.0,1.0423928861919018
64,0.001,0.1,10.0,1.4002323566083044
65,0.01,0.0001,10.0,1.0624428322842268
66,0.01,0.001,10.0,1.029356845058808
67,0.01,0.01,10.0,1.0216656905684407
68,0.01,0.05,10.0,1.0515150995853788
69,0.01,0.1,10.0,1.3770175712900303
70,0.05,0.0001,10.0,1.0627174389209788
71,0.05,0.001,10.0,1.0346934562132644
72,0.05,0.01,10.0,0.9822708598855162
73,0.05,0.05,10.0,1.0232321201867598
74,0.05,0.1,10.0,1.3716276747169307
75,0.1,0.0001,10.0,1.0627707064983913
76,0.1,0.001,10.0,1.0614439476457198
77,0.1,0.01,10.0,1.0006233420791883
78,0.1,0.05,10.0,1.0428155017610101
79,0.1,0.1,10.0,1.4610461478334351
80,0.5,0.0001,10.0,1.0649285893038287
81,0.5,0.001,10.0,1.0558110760136814
82,0.5,0.01,10.0,1.0408648729419165
83,0.5,0.05,10.0,1.1067459784216631
84,0.5,0.1,10.0,1.341948383373463
85,1.0,0.0001,10.0,1.0679759105555922
86,1.0,0.001,10.0,1.0692664804343959
87,1.0,0.01,10.0,1.1821150715787354
88,1.0,0.05,10.0,1.3407473075871228
89,1.0,0.1,10.0,1.4344836557004845
90,0.001,0.0001,15.0,1.0623059577748897
91,0.001,0.001,15.0,1.0416540759541673
92,0.001,0.01,15.0,1.046575612556778
93,0.001,0.05,15.0,1.041438668063411
94,0.001,0.1,15.0,1.413067658294265
95,0.01,0.0001,15.0,1.0622485755356963
96,0.01,0.001,15.0,1.029533924088417
97,0.01,0.01,15.0,0.9666911790485804
98,0.01,0.05,15.0,1.0381475829936593
99,0.01,0.1,15.0,1.3854494731452427
100,0.05,0.0001,15.0,1.0624046615757536
101,0.05,0.001,15.0,1.0467430284299384
102,0.05,0.01,15.0,0.9416346005721241
103,0.05,0.05,15.0,1.0340094177848338
104,0.05,0.1,15.0,1.3594284227485296
105,0.1,0.0001,15.0,1.0627010550210247
106,0.1,0.001,15.0,1.0485756428173734
107,0.1,0.01,15.0,0.9879603862984191
108,0.1,0.05,15.0,1.045821344730188
109,0.1,0.1,15.0,1.3728279076927024
110,0.5,0.0001,15.0,1.064679440960401
111,0.5,0.001,15.0,1.0572954011703006
112,0.5,0.01,15.0,1.0484720938137548
113,0.5,0.05,15.0,1.1072297742015402
114,0.5,0.1,15.0,1.2889760474870917
115,1.0,0.0001,15.0,1.0680082683877823
116,1.0,0.001,15.0,1.0753472945555917
117,1.0,0.01,15.0,1.0793656294903506
118,1.0,0.05,15.0,1.3770159320553343
119,1.0,0.1,15.0,1.5867609359252068
120,0.001,0.0001,20.0,1.0627232986733741
121,0.001,0.001,20.0,1.041787164842326
122,0.001,0.01,20.0,1.0470462331504204
123,0.001,0.05,20.0,1.0684204260503112
124,0.001,0.1,20.0,1.3572209215967848
125,0.01,0.0001,20.0,1.0626896419099339
126,0.01,0.001,20.0,1.0413784897517322
127,0.01,0.01,20.0,1.0284020769316322
128,0.01,0.05,20.0,1.0447551593026858
129,0.01,0.1,20.0,1.2869609166377198
130,0.05,0.0001,20.0,1.0628951440414105
131,0.05,0.001,20.0,1.0430614554817794
132,0.05,0.01,20.0,0.9732978664484159
133,0.05,0.05,20.0,1.0308438599174667
134,0.05,0.1,20.0,1.33834564725601
135,0.1,0.0001,20.0,1.062416255017776
136,0.1,0.001,20.0,1.0485814972928598
137,0.1,0.01,20.0,1.060050765567006
138,0.1,0.05,20.0,1.033474440164669
139,0.1,0.1,20.0,1.3571645434162194
140,0.5,0.0001,20.0,1.0645914988165697
141,0.5,0.001,20.0,1.0613177413155264
142,0.5,0.01,20.0,1.064895968192833
143,0.5,0.05,20.0,1.1103282577714426
144,0.5,0.1,20.0,1.3126442001018381
145,1.0,0.0001,20.0,1.0682461012689124
146,1.0,0.001,20.0,1.0746317581126792
147,1.0,0.01,20.0,1.1911721341070824
148,1.0,0.05,20.0,1.3721462326804559
149,1.0,0.1,20.0,1.5429763104664749
150,0.001,0.0001,50.0,1.0623695551204257
151,0.001,0.001,50.0,1.0501037883062316
152,0.001,0.01,50.0,1.0248018228857492
153,0.001,0.05,50.0,1.0430704101530865
154,0.001,0.1,50.0,1.4283793549839034
155,0.01,0.0001,50.0,1.0624543326097369
156,0.01,0.001,50.0,1.0485287743376352
157,0.01,0.01,50.0,0.9770250931209845
