index,lambda,eta,r,RMSE
0,0.001,0.008,1.0,0.9546491315619247
1,0.001,0.009,1.0,0.9567649732250106
2,0.001,0.0099,1.0,0.9714564155561426
3,0.001,0.01,1.0,0.9405639717644544
4,0.001,0.011,1.0,0.9404085331806006
5,0.001,0.012,1.0,0.9336561256387007
6,0.001,0.02,1.0,1.009227525400372
7,0.002,0.008,1.0,1.0020478811984144
8,0.002,0.009,1.0,0.9377911757846141
9,0.002,0.0099,1.0,0.9912930535248795
10,0.002,0.01,1.0,0.9457260512671465
11,0.002,0.011,1.0,0.9407413560327811
12,0.002,0.012,1.0,0.9429204352704672
13,0.002,0.02,1.0,0.9456426172007802
14,0.003,0.008,1.0,0.9604037090705664
15,0.003,0.009,1.0,0.9403316211437156
16,0.003,0.0099,1.0,0.9364008759793927
17,0.003,0.01,1.0,0.9562926324745971
18,0.003,0.011,1.0,0.9841555013573856
19,0.003,0.012,1.0,0.9338764712831693
20,0.003,0.02,1.0,0.95552678480737
21,0.004,0.008,1.0,0.9908136600195312
22,0.004,0.009,1.0,0.9710538385731001
23,0.004,0.0099,1.0,0.9388548556084663
24,0.004,0.01,1.0,0.9423660546485645
25,0.004,0.011,1.0,0.9397335504714744
26,0.004,0.012,1.0,1.0126863351862867
27,0.004,0.02,1.0,0.9607389814127097
28,0.005,0.008,1.0,0.9398094261946139
29,0.005,0.009,1.0,0.9478948918049713
30,0.005,0.0099,1.0,0.9459685544064216
31,0.005,0.01,1.0,0.9399077488167744
32,0.005,0.011,1.0,0.9402760657360592
33,0.005,0.012,1.0,1.0019384912558196
34,0.005,0.02,1.0,0.96897631681006
35,0.006,0.008,1.0,0.9383072095685325
36,0.006,0.009,1.0,0.9573684615975536
37,0.006,0.0099,1.0,0.9368987452183349
38,0.006,0.01,1.0,0.9401611365450309
39,0.006,0.011,1.0,0.9565689245624229
40,0.006,0.012,1.0,0.972677322139432
41,0.006,0.02,1.0,0.9748627278985607
42,0.007,0.008,1.0,0.9735934396980828
43,0.007,0.009,1.0,0.9548576924239278
44,0.007,0.0099,1.0,0.9384974080136513
45,0.007,0.01,1.0,0.9399446759750036
46,0.007,0.011,1.0,0.9427374657725653
47,0.007,0.012,1.0,0.9467543743449127
48,0.007,0.02,1.0,0.993736834394218
49,0.008,0.008,1.0,1.049446499363487
50,0.008,0.009,1.0,1.011918640931703
51,0.008,0.0099,1.0,0.9655508500309855
52,0.008,0.01,1.0,0.9520806047608644
53,0.008,0.011,1.0,0.9343198555831926
54,0.008,0.012,1.0,0.9410754320549967
55,0.008,0.02,1.0,0.9426360744703977
56,0.009000000000000001,0.008,1.0,0.9369125670419008
57,0.009000000000000001,0.009,1.0,0.9386667468884303
58,0.009000000000000001,0.0099,1.0,0.9353776191942206
59,0.009000000000000001,0.01,1.0,0.935469144357549
60,0.009000000000000001,0.011,1.0,0.9380061516000054
61,0.009000000000000001,0.012,1.0,0.9368381732167614
62,0.009000000000000001,0.02,1.0,0.9489283803604392
63,0.010000000000000002,0.008,1.0,0.957681323105463
64,0.010000000000000002,0.009,1.0,0.9358508852427045
65,0.010000000000000002,0.0099,1.0,0.9645015806817858
66,0.010000000000000002,0.01,1.0,0.9370448106006044
67,0.010000000000000002,0.011,1.0,0.9745766020023306
68,0.010000000000000002,0.012,1.0,0.9712350623586613
69,0.010000000000000002,0.02,1.0,0.9460427098182167
70,0.011,0.008,1.0,0.9408734943949917
71,0.011,0.009,1.0,1.033478036973843
72,0.011,0.0099,1.0,0.9378885445142398
73,0.011,0.01,1.0,0.9785860728624384
74,0.011,0.011,1.0,0.9460416659052924
75,0.011,0.012,1.0,0.9440317667600848
76,0.011,0.02,1.0,0.9523421152140417
77,0.012,0.008,1.0,0.9479453519958297
78,0.012,0.009,1.0,0.9451669215028822
79,0.012,0.0099,1.0,0.9416456133875972
80,0.012,0.01,1.0,0.9492376613447117
81,0.012,0.011,1.0,0.9364794682675958
82,0.012,0.012,1.0,1.011032890234395
83,0.012,0.02,1.0,1.0219017610805023
84,0.013000000000000001,0.008,1.0,1.0163890307462917
85,0.013000000000000001,0.009,1.0,0.9679114761447073
86,0.013000000000000001,0.0099,1.0,0.9805975972089352
87,0.013000000000000001,0.01,1.0,0.969946046306675
88,0.013000000000000001,0.011,1.0,0.9545812896988576
89,0.013000000000000001,0.012,1.0,0.93735264159097
90,0.013000000000000001,0.02,1.0,0.9532247852963892
91,0.014000000000000002,0.008,1.0,0.9621299928375534
92,0.014000000000000002,0.009,1.0,0.9359513891805359
93,0.014000000000000002,0.0099,1.0,0.9680502010378832
94,0.014000000000000002,0.01,1.0,0.9436393212544596
95,0.014000000000000002,0.011,1.0,0.9583991869918288
96,0.014000000000000002,0.012,1.0,0.9374418088868613
97,0.014000000000000002,0.02,1.0,0.9464510544771673
98,0.015,0.008,1.0,0.942791433375906
99,0.015,0.009,1.0,0.9710523913122462
100,0.015,0.0099,1.0,0.961939721362056
101,0.015,0.01,1.0,0.9379873134985711
102,0.015,0.011,1.0,0.9667504231857659
103,0.015,0.012,1.0,1.027824054100769
104,0.015,0.02,1.0,1.0588597205127246
105,0.016,0.008,1.0,0.9386046075866791
106,0.016,0.009,1.0,0.9615009910344582
