index,lambda,eta,r,RMSE
0,0.001,0.0001,1.0,1.0600648960485513
1,0.001,0.001,1.0,1.0152770430395541
2,0.001,0.01,1.0,0.9672721232727697
3,0.001,0.05,1.0,1.0512079910146053
4,0.001,0.1,1.0,1.4108664976841507
5,0.01,0.0001,1.0,1.0603572331683384
6,0.01,0.001,1.0,1.0268456978506204
7,0.01,0.01,1.0,0.9354759651590518
8,0.01,0.05,1.0,1.0438684888001133
9,0.01,0.1,1.0,1.530660409499592
10,0.05,0.0001,1.0,1.0602333705613662
11,0.05,0.001,1.0,1.029164945541579
12,0.05,0.01,1.0,0.9575063743945322
13,0.05,0.05,1.0,1.0461325081630792
14,0.05,0.1,1.0,1.4191116970413706
15,0.1,0.0001,1.0,1.0605263057269878
16,0.1,0.001,1.0,1.0405266993606568
17,0.1,0.01,1.0,0.9414358755249111
18,0.1,0.05,1.0,1.035030290279951
19,0.1,0.1,1.0,1.3760375725523701
20,0.5,0.0001,1.0,1.0625393185499676
21,0.5,0.001,1.0,1.0525375153167753
22,0.5,0.01,1.0,1.0376319774768068
23,0.5,0.05,1.0,1.1103802728883994
24,0.5,0.1,1.0,1.3750536295640803
25,1.0,0.0001,1.0,1.0654757478658867
26,1.0,0.001,1.0,1.0712033135525285
27,1.0,0.01,1.0,1.2028416585575783
28,1.0,0.05,1.0,1.3426793092438813
29,1.0,0.1,1.0,1.5233500532960302
30,0.001,0.0001,5.0,1.0601029988335988
31,0.001,0.001,5.0,1.048961819143823
32,0.001,0.01,5.0,0.9368076045185127
33,0.001,0.05,5.0,1.0557381611914427
34,0.001,0.1,5.0,1.424914580860047
35,0.01,0.0001,5.0,1.0603501084917233
36,0.01,0.001,5.0,1.0344885645983506
37,0.01,0.01,5.0,1.0255256601067297
38,0.01,0.05,5.0,1.0454637272600389
39,0.01,0.1,5.0,1.4073877594419673
40,0.05,0.0001,5.0,1.0602338486322844
41,0.05,0.001,5.0,1.0408597537388122
42,0.05,0.01,5.0,0.9999732710712391
43,0.05,0.05,5.0,1.0425020055173129
44,0.05,0.1,5.0,1.223571766022385
45,0.1,0.0001,5.0,1.0607911217496828
46,0.1,0.001,5.0,1.0434941045166644
47,0.1,0.01,5.0,0.9496178700347779
48,0.1,0.05,5.0,1.0292956976373746
49,0.1,0.1,5.0,1.352643357432759
50,0.5,0.0001,5.0,1.062144105310042
51,0.5,0.001,5.0,1.0539196767060777
52,0.5,0.01,5.0,1.050299497281432
53,0.5,0.05,5.0,1.1114770232990876
54,0.5,0.1,5.0,1.2925194339597592
55,1.0,0.0001,5.0,1.0656718049397385
56,1.0,0.001,5.0,1.070882874959582
57,1.0,0.01,5.0,1.194391723448585
58,1.0,0.05,5.0,1.334341758410842
59,1.0,0.1,5.0,1.5027630822026046
60,0.001,0.0001,10.0,1.060022628807354
61,0.001,0.001,10.0,1.031074401160495
62,0.001,0.01,10.0,0.9997035102577247
63,0.001,0.05,10.0,1.040389637564284
64,0.001,0.1,10.0,1.4306066948925265
65,0.01,0.0001,10.0,1.0601013196301123
66,0.01,0.001,10.0,1.0236628044262794
67,0.01,0.01,10.0,1.0500285416844413
68,0.01,0.05,10.0,1.0397275902498915
69,0.01,0.1,10.0,1.3406336029342953
70,0.05,0.0001,10.0,1.0600473997749933
71,0.05,0.001,10.0,1.0424365119339658
72,0.05,0.01,10.0,0.9519659014747563
73,0.05,0.05,10.0,1.0541824818541483
74,0.05,0.1,10.0,1.4115921731766103
75,0.1,0.0001,10.0,1.0604738043034505
76,0.1,0.001,10.0,1.042382658824674
77,0.1,0.01,10.0,1.010482829249795
78,0.1,0.05,10.0,1.0642373208168632
79,0.1,0.1,10.0,1.3713071947057414
80,0.5,0.0001,10.0,1.0623505925777137
81,0.5,0.001,10.0,1.0580474895034084
82,0.5,0.01,10.0,1.0467450026908878
83,0.5,0.05,10.0,1.0931865984432434
84,0.5,0.1,10.0,1.3171697906008815
85,1.0,0.0001,10.0,1.065371958486963
86,1.0,0.001,10.0,1.0644058367320635
87,1.0,0.01,10.0,1.1691653525685572
88,1.0,0.05,10.0,1.3802545589644863
89,1.0,0.1,10.0,1.4786213054098796
90,0.001,0.0001,15.0,1.0598565901980361
91,0.001,0.001,15.0,1.0458244107443844
92,0.001,0.01,15.0,0.9629999361466478
93,0.001,0.05,15.0,1.0390792450743225
94,0.001,0.1,15.0,1.4386229641887178
95,0.01,0.0001,15.0,1.0602157018345817
96,0.01,0.001,15.0,1.0394684719199565
97,0.01,0.01,15.0,0.9800978292680109
98,0.01,0.05,15.0,1.0431673815651505
99,0.01,0.1,15.0,1.3622201835476866
100,0.05,0.0001,15.0,1.0604793402484947
101,0.05,0.001,15.0,1.0437097318660973
102,0.05,0.01,15.0,1.0086507786064798
103,0.05,0.05,15.0,1.0455315984064741
104,0.05,0.1,15.0,1.2914544501976268
105,0.1,0.0001,15.0,1.0605902572115478
106,0.1,0.001,15.0,1.037239078371717
107,0.1,0.01,15.0,0.9665319032626429
108,0.1,0.05,15.0,1.044449696143064
109,0.1,0.1,15.0,1.4341734703993172
110,0.5,0.0001,15.0,1.0627374546109987
111,0.5,0.001,15.0,1.0590559423483756
112,0.5,0.01,15.0,1.0467196567486636
113,0.5,0.05,15.0,1.1315039353081355
114,0.5,0.1,15.0,1.3642514398664767
115,1.0,0.0001,15.0,1.0649720539668037
116,1.0,0.001,15.0,1.0794453482857884
117,1.0,0.01,15.0,1.1476492426603309
118,1.0,0.05,15.0,1.3487823816701499
119,1.0,0.1,15.0,1.4994058623038418
120,0.001,0.0001,20.0,1.0601084086754766
121,0.001,0.001,20.0,1.0476648990499609
122,0.001,0.01,20.0,0.9974571619373892
123,0.001,0.05,20.0,1.0612760482897665
124,0.001,0.1,20.0,1.44263414132838
125,0.01,0.0001,20.0,1.0602107788036044
126,0.01,0.001,20.0,1.0460637367912764
127,0.01,0.01,20.0,1.032486312987807
128,0.01,0.05,20.0,1.0461451217423308
