index,rep,lambda,eta,r,RMSE
0,1.0,0.011,0.001,2.0,1.019593147946325
1,1.0,0.0099,0.001,2.0,1.0225510961579043
2,2.0,0.011,0.001,2.0,1.0432859590738848
3,2.0,0.0099,0.001,2.0,1.0274044871910493
4,3.0,0.011,0.001,2.0,1.0448609332677232
5,3.0,0.0099,0.001,2.0,1.0396458656756735
6,4.0,0.011,0.001,2.0,1.0322027742424138
7,4.0,0.0099,0.001,2.0,1.0305375201981206
8,5.0,0.011,0.001,2.0,1.0156773012176414
9,5.0,0.0099,0.001,2.0,1.0265435265779783
10,6.0,0.011,0.001,2.0,1.037246181094231
11,6.0,0.0099,0.001,2.0,1.0251169455822293
12,7.0,0.011,0.001,2.0,1.0466817403412798
13,7.0,0.0099,0.001,2.0,1.0369271477324629
14,8.0,0.011,0.001,2.0,1.0561343444465823
15,8.0,0.0099,0.001,2.0,1.0339735870149858
16,9.0,0.011,0.001,2.0,1.0333679428188782
17,9.0,0.0099,0.001,2.0,1.0500330173762031
18,10.0,0.011,0.001,2.0,1.0168789539902403
19,10.0,0.0099,0.001,2.0,1.0083768169189793
20,11.0,0.011,0.001,2.0,1.0276051538681987
21,11.0,0.0099,0.001,2.0,1.039146629622671
22,12.0,0.011,0.001,2.0,1.0396404253212248
23,12.0,0.0099,0.001,2.0,1.043976617703379
24,13.0,0.011,0.001,2.0,1.0412766610454829
25,13.0,0.0099,0.001,2.0,1.036637033579074
26,14.0,0.011,0.001,2.0,1.04401851413945
27,14.0,0.0099,0.001,2.0,1.041558973075357
28,15.0,0.011,0.001,2.0,1.0181320785291734
29,15.0,0.0099,0.001,2.0,1.050707568614228
30,16.0,0.011,0.001,2.0,1.0274226922991485
31,16.0,0.0099,0.001,2.0,1.0250433156888135
32,17.0,0.011,0.001,2.0,1.0292899278399097
33,17.0,0.0099,0.001,2.0,1.0130213434533535
34,18.0,0.011,0.001,2.0,1.0567679367868625
35,18.0,0.0099,0.001,2.0,1.0360985144355304
36,19.0,0.011,0.001,2.0,1.0138599120185663
37,19.0,0.0099,0.001,2.0,1.0337249796455574
38,20.0,0.011,0.001,2.0,1.0313418072839404
39,20.0,0.0099,0.001,2.0,1.040603288034707
40,1.0,0.011,0.004,2.0,1.0231181562093072
41,1.0,0.0099,0.004,2.0,1.0290596541740025
42,2.0,0.011,0.004,2.0,1.0105021396056102
43,2.0,0.0099,0.004,2.0,0.9872518819407542
44,3.0,0.011,0.004,2.0,1.018050244776493
45,3.0,0.0099,0.004,2.0,1.024208172912132
46,4.0,0.011,0.004,2.0,0.9725872007012344
47,4.0,0.0099,0.004,2.0,0.9755737098994555
